post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-gold,Căn hộ chung cư,75.0,2,2,1,Cơ bản,8.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,60-80
0,vip-gold,Căn hộ chung cư,72.0,2,2,1,Đầy đủ,16.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-gold,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,9.0,Dự án Moonlight Residences,Đường Đặng Văn Bi,Phường Bình Thọ,Thủ Đức,60-80
0,vip-gold,Căn hộ chung cư,85.0,2,2,1,Đầy đủ,18.0,Không thuộc dự án,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,80-100
0,vip-gold,Căn hộ chung cư,45.0,1,1,1,Đầy đủ,9.0,Dự án The Sun Avenue,Đường Mai Chí Thọ,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,112.0,2,2,1,Cơ bản,14.0,Dự án Celadon City,Đường N1,Phường Sơn Kỳ,Tân Phú,100+
0,vip-gold,Căn hộ chung cư,86.0,2,2,1,Cơ bản,18.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-gold,Căn hộ chung cư,56.0,2,1,1,Đầy đủ,5.5,Dự án Căn hộ Ricca Quận 9,Đường Gò Cát,Phường Phú Hữu,9,40-60
0,vip-gold,Căn hộ chung cư,81.0,2,2,1,Đầy đủ,13.0,Dự án One Verandah Mapletree,Đường Bát Nàn,Phường Thạnh Mỹ Lợi,2,80-100
0,vip-gold,Căn hộ chung cư,65.0,2,2,1,Đầy đủ,6.0,Dự án Sài Gòn Gateway,Đường Xa Lộ Hà Nội,Phường Hiệp Phú,9,60-80
0,vip-gold,Căn hộ chung cư,92.0,2,2,1,Đầy đủ,19.0,Dự án Diamond Island,Đường Nguyễn Duy Trinh,Phường Bình Trưng Tây,2,80-100
0,vip-gold,Căn hộ chung cư,66.0,2,1,1,Đầy đủ,7.0,Dự án Lavita Charm,Đường Số 10,Phường Trường Thọ,Thủ Đức,60-80
0,vip-gold,Căn hộ chung cư,44.0,1,1,1,Đầy đủ,9.0,Dự án Centana Thủ Thiêm,Đường Mai Chí Thọ,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,77.0,2,2,1,Đầy đủ,25.0,Dự án Vinhomes Golden River Ba Son,Đường Nguyễn Thị Minh Khai,Phường Bến Nghé,1,60-80
0,vip-gold,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,10.0,Dự án Celadon City,Đường Tân Thắng,Phường Sơn Kỳ,Tân Phú,60-80
0,vip-gold,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,15.0,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-gold,Căn hộ chung cư,88.0,2,2,1,Đầy đủ,26.0,Dự án Sarimi Sala,Đường Mai Chí Thọ,Phường An Lợi Đông,2,80-100
0,vip-gold,Căn hộ chung cư,72.0,2,2,1,Đầy đủ,16.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-gold,Căn hộ chung cư,106.0,2,2,1,Đầy đủ,36.0,Dự án Sunwah Pearl,Đường Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,100+
0,vip-gold,Căn hộ chung cư,96.0,2,2,1,Cơ bản,16.0,Dự án Celadon City,Đường N1,Phường Sơn Kỳ,Tân Phú,80-100
